  12000.00    -892.67
  11900.00    -872.04
  11800.00    -853.31
  11700.00    -836.42
  11600.00    -821.34
  11500.00    -808.05
  11430.29    -800.00
  11400.00    -796.31
  11300.00    -785.94
  11200.00    -777.37
  11100.00    -770.57
  11000.00    -765.52
  10900.00    -762.20
  10800.00    -760.59
  10700.00    -760.67
  10600.00    -762.43
  10500.00    -765.85
  10400.00    -770.92
  10300.00    -777.63
  10200.00    -785.97
  10100.00    -795.94
  10064.71    -800.00
  10000.00    -807.10
   9900.00    -819.53
   9800.00    -833.47
   9700.00    -848.92
   9600.00    -865.87
   9500.00    -884.33
   9421.26    -900.00
   9400.00    -904.05
   9300.00    -924.23
   9200.00    -945.80
   9100.00    -968.77
   9000.00    -993.15
   8973.01   -1000.00
   8900.00   -1017.77
   8800.00   -1043.24
   8700.00   -1069.99
   8600.00   -1098.03
   8593.11   -1100.00
   8500.00   -1125.61
   8400.00   -1154.22
   8300.00   -1183.96
   8247.42   -1200.00
   8200.00   -1213.90
   8100.00   -1243.80
   8000.00   -1274.69
   7920.12   -1300.00
   7900.00   -1306.13
   7800.00   -1336.75
   7700.00   -1368.16
   7601.08   -1400.00
   7600.00   -1400.33
   7500.00   -1431.03
   7400.00   -1462.32
   7300.00   -1494.16
   7281.49   -1500.00
   7200.00   -1524.67
   7100.00   -1555.12
   7000.00   -1585.88
   6953.70   -1600.00
   6900.00   -1615.69
   6800.00   -1644.59
   6700.00   -1673.51
   6608.02   -1700.00
   6600.00   -1702.21
   6500.00   -1728.84
   6400.00   -1755.18
   6300.00   -1781.17
   6225.72   -1800.00
   6200.00   -1806.21
   6100.00   -1829.29
   6000.00   -1851.71
   5900.00   -1873.36
   5800.00   -1894.17
   5770.06   -1900.00
   5700.00   -1912.91
   5600.00   -1930.16
   5500.00   -1946.27
   5400.00   -1961.15
   5300.00   -1974.71
   5200.00   -1986.85
   5100.00   -1997.48
   5071.66   -2000.00
   5000.00   -2005.96
   4900.00   -2012.66
   4800.00   -2017.72
   4700.00   -2021.11
   4600.00   -2022.75
   4500.00   -2022.62
   4400.00   -2020.69
   4300.00   -2016.94
   4200.00   -2011.36
   4100.00   -2003.97
   4056.58   -2000.00
   4000.00   -1994.25
   3900.00   -1982.17
   3800.00   -1968.20
   3700.00   -1952.41
   3600.00   -1934.90
   3500.00   -1915.76
   3423.84   -1900.00
   3400.00   -1894.53
   3300.00   -1869.92
   3200.00   -1843.94
   3100.00   -1816.75
   3041.07   -1800.00
   3000.00   -1787.04
   2900.00   -1754.30
   2800.00   -1720.83
   2739.26   -1700.00
   2700.00   -1685.04
   2600.00   -1646.15
   2500.00   -1607.19
   2481.90   -1600.00
   2400.00   -1563.84
   2300.00   -1520.01
   2254.46   -1500.00
   2200.00   -1473.32
   2100.00   -1424.83
   2048.25   -1400.00
   2000.00   -1374.08
   1900.00   -1321.37
   1858.81   -1300.00
   1800.00   -1265.71
   1700.00   -1209.43
   1683.04   -1200.00
   1600.00   -1147.93
   1519.61   -1100.00
   1500.00   -1086.63
   1400.00   -1020.68
   1367.31   -1000.00
   1300.00    -951.04
   1225.29    -900.00
   1200.00    -879.73
   1100.00    -804.58
   1093.63    -800.00
   1000.00    -720.39
    974.15    -700.00
    900.00    -628.80
    867.37    -600.00
    800.00    -524.22
    776.31    -500.00
    706.21    -400.00
    700.00    -381.02
    669.61    -300.00
    691.52    -200.00
    700.00    -192.54
    800.00    -134.61
    900.00    -104.33
    924.23    -100.00
   1000.00     -91.71
   1100.00     -85.78
   1200.00     -83.48
   1300.00     -83.70
   1400.00     -85.66
   1500.00     -88.78
   1600.00     -92.64
   1700.00     -96.91
   1768.73    -100.00
   1800.00    -101.59
   1900.00    -106.71
   2000.00    -111.49
   2100.00    -115.78
   2200.00    -119.45
   2300.00    -122.39
   2400.00    -124.50
   2500.00    -125.69
   2600.00    -125.89
   2700.00    -125.00
   2800.00    -122.97
   2900.00    -119.71
   3000.00    -115.17
   3100.00    -109.25
   3200.00    -101.91
   3221.35    -100.00
   3300.00     -93.80
   3400.00     -84.46
   3500.00     -73.62
   3600.00     -61.21
   3700.00     -47.15
   3800.00     -31.36
   3900.00     -13.74
   3970.46       0.00
   4000.00       5.23
   4100.00      24.70
   4200.00      46.07
   4300.00      69.43
   4400.00      94.91
   4418.55     100.00
   4500.00     120.56
   4600.00     147.85
   4700.00     177.34
   4771.51     200.00
   4800.00     208.38
   4900.00     239.68
   5000.00     273.29
   5074.40     300.00
   5100.00     308.59
   5200.00     343.98
   5300.00     381.82
   5345.52     400.00
   5400.00     420.44
   5500.00     460.02
   5594.97     500.00
   5600.00     502.00
   5700.00     543.27
   5800.00     587.09
   5828.27     600.00
   5900.00     630.99
   6000.00     676.41
   6049.74     700.00
   6100.00     722.64
   6200.00     769.56
   6262.10     800.00
   6300.00     817.69
   6400.00     866.00
   6467.48     900.00
   6500.00     915.64
   6600.00     965.19
   6667.53    1000.00
   6700.00    1016.00
